record_id,employee_id,year,department,role,gender,age,years_at_company,salary_base_pln,bonus_pct,total_comp_pln,location,employment_type,performance_band,manager_flag,outlier_flag
1001-2016,1001,2016,Sales,Sales Representative,male,38,1,92709.0,0.1412,105797.49,Krakow,full_time,medium,0,0
1001-2017,1001,2017,Sales,Sales Representative,male,39,2,96594.88,0.1223,108407.88,Krakow,full_time,medium,0,0
1001-2018,1001,2018,Sales,Sales Representative,male,40,3,68246.1,0.1836,80775.44,Krakow,full_time,medium,0,1
1001-2019,1001,2019,Sales,Sales Representative,male,41,4,106523.19,0.0525,112114.19,Krakow,full_time,medium,0,0
1001-2020,1001,2020,Sales,Sales Representative,male,42,5,109042.37,0.2076,131676.1,Krakow,full_time,medium,0,0
1001-2021,1001,2021,Sales,Sales Representative,male,43,6,125981.57,0.0473,131945.04,Krakow,full_time,medium,0,0
1001-2022,1001,2022,Sales,Sales Representative,male,44,7,134964.28,0.157,156156.03,Krakow,full_time,medium,0,0
1001-2023,1001,2023,Sales,Sales Representative,male,45,8,127668.44,0.2467,159170.47,Krakow,full_time,medium,0,0
1001-2024,1001,2024,Sales,Sales Representative,male,46,9,142454.05,0.1699,166649.95,Krakow,full_time,medium,0,0
1001-2025,1001,2025,Sales,Sales Representative,male,47,10,134239.18,0.1844,158992.95,Krakow,full_time,medium,0,0
1002-2016,1002,2016,Sales,Sales Operations Analyst,male,40,3,103706.0,0.2108,125566.87,Wroclaw,full_time,medium,0,0
1002-2017,1002,2017,Sales,Sales Operations Analyst,male,41,4,110563.49,0.2374,136815.7,Wroclaw,full_time,medium,0,0
1002-2018,1002,2018,Sales,Sales Operations Analyst,male,42,5,121216.17,0.2246,148445.0,Wroclaw,full_time,medium,0,0
1002-2019,1002,2019,Sales,Sales Operations Analyst,male,43,6,123092.56,0.1535,141987.39,Wroclaw,full_time,medium,0,0
1002-2020,1002,2020,Sales,Sales Operations Analyst,male,44,7,128881.67,0.1096,143012.16,Wroclaw,full_time,medium,0,0
1002-2021,1002,2021,Sales,Sales Operations Analyst,male,45,8,128593.38,0.0541,135553.21,Wroclaw,full_time,medium,0,0
1002-2022,1002,2022,Sales,Sales Operations Analyst,male,46,9,135480.83,0.1146,151013.54,Wroclaw,full_time,medium,0,0
1002-2023,1002,2023,Sales,Sales Operations Analyst,male,47,10,169114.29,0.2194,206213.15,Wroclaw,full_time,medium,0,0
1002-2024,1002,2024,Sales,Sales Operations Analyst,male,48,11,149490.95,0.1952,178670.55,Wroclaw,full_time,medium,0,0
1002-2025,1002,2025,Sales,Sales Operations Analyst,male,49,12,180125.54,0.1298,203509.3,Wroclaw,full_time,medium,0,0
1003-2016,1003,2016,HR,Compensation Analyst,male,59,5,93635.08,0.1388,106630.96,Remote,full_time,high,0,0
1003-2017,1003,2017,HR,Compensation Analyst,male,60,6,102797.98,0.1269,115838.31,Remote,full_time,high,0,0
1003-2018,1003,2018,HR,Compensation Analyst,male,61,7,106071.62,0.1131,118072.28,Remote,full_time,high,0,0
1003-2019,1003,2019,HR,Compensation Analyst,male,62,8,126315.6,0.0779,136149.43,Remote,full_time,high,0,0
1003-2020,1003,2020,HR,Compensation Analyst,male,63,9,124649.95,0.1402,142129.07,Remote,full_time,high,0,0
1003-2021,1003,2021,HR,Compensation Analyst,male,64,10,144113.46,0.1019,158792.6,Remote,full_time,high,0,0
1003-2022,1003,2022,HR,Compensation Analyst,male,65,11,152634.85,0.0154,154984.23,Remote,full_time,high,0,0
1003-2023,1003,2023,HR,Compensation Analyst,male,66,12,139852.41,0.044,146003.05,Remote,full_time,high,0,0
1003-2024,1003,2024,HR,Compensation Analyst,male,67,13,152344.37,0.0792,164416.82,Remote,full_time,high,0,0
1003-2025,1003,2025,HR,Compensation Analyst,male,68,14,160609.83,0.1204,179944.87,Remote,full_time,high,0,0
1004-2019,1004,2019,Customer Success,Customer Success Manager,female,49,0,135368.67,0.0981,148643.62,Wroclaw,full_time,medium,1,0
1004-2020,1004,2020,Customer Success,Customer Success Manager,female,50,1,131946.74,0.0406,137309.05,Wroclaw,full_time,medium,1,0
1004-2021,1004,2021,Customer Success,Customer Success Manager,female,51,2,152047.91,0.0208,155205.94,Wroclaw,full_time,medium,1,0
1004-2022,1004,2022,Customer Success,Customer Success Manager,female,52,3,172811.97,0.1034,190673.22,Wroclaw,full_time,medium,1,0
1004-2023,1004,2023,Customer Success,Customer Success Manager,female,53,4,154763.54,0.0281,159113.96,Wroclaw,full_time,medium,1,0
1004-2024,1004,2024,Customer Success,Customer Success Manager,female,54,5,180887.49,0.0565,191113.21,Wroclaw,full_time,medium,1,0
1004-2025,1004,2025,Customer Success,Customer Success Manager,female,55,6,198442.38,0.0309,204572.02,Wroclaw,full_time,medium,1,0
1005-2018,1005,2018,Finance,Financial Analyst,male,25,0,104064.87,0.0175,105883.48,Warsaw,full_time,medium,0,0
1005-2019,1005,2019,Finance,Financial Analyst,male,26,1,108101.82,0.0371,112110.64,Warsaw,full_time,medium,0,0
1005-2020,1005,2020,Finance,Financial Analyst,male,27,2,109908.22,0.0722,117840.84,Warsaw,full_time,medium,0,0
1005-2021,1005,2021,Finance,Financial Analyst,male,28,3,131439.11,0.0363,136204.49,Warsaw,full_time,medium,0,0
1005-2022,1005,2022,Finance,Financial Analyst,male,29,4,120191.91,0.1122,133676.48,Warsaw,full_time,medium,0,0
1005-2023,1005,2023,Finance,Financial Analyst,male,30,5,130138.29,0.1196,145699.0,Warsaw,full_time,medium,0,0
1005-2024,1005,2024,Finance,Financial Analyst,male,31,6,139401.1,0.0484,146146.86,Warsaw,full_time,medium,0,0
1005-2025,1005,2025,Finance,Financial Analyst,male,32,7,159086.16,0.1017,175267.13,Warsaw,full_time,medium,0,0
1006-2016,1006,2016,HR,Compensation Analyst,non_binary,63,8,104706.73,0.0765,112720.07,Remote,b2b,medium,0,0
1006-2017,1006,2017,HR,Compensation Analyst,non_binary,64,9,122801.07,0.0376,127421.26,Remote,b2b,medium,0,0
1006-2018,1006,2018,HR,Compensation Analyst,non_binary,65,10,136577.56,0.0104,137996.6,Remote,b2b,medium,0,0
1006-2019,1006,2019,HR,Compensation Analyst,non_binary,66,11,137089.27,0.0876,149101.5,Remote,b2b,medium,0,0
1006-2020,1006,2020,HR,Compensation Analyst,non_binary,67,12,129784.29,0.07,138871.13,Remote,b2b,medium,0,0
1006-2021,1006,2021,HR,Compensation Analyst,non_binary,68,13,156515.64,0.0501,164358.9,Remote,b2b,medium,0,0
1006-2022,1006,2022,HR,Compensation Analyst,non_binary,69,14,185793.88,0.0374,192751.54,Remote,b2b,medium,0,0
1006-2023,1006,2023,HR,Compensation Analyst,non_binary,70,15,141495.13,0.0924,154575.3,Remote,b2b,medium,0,0
1006-2024,1006,2024,HR,Compensation Analyst,non_binary,71,16,216644.27,0.107,239815.63,Remote,b2b,medium,0,0
1006-2025,1006,2025,HR,Compensation Analyst,non_binary,72,17,144016.7,0.0837,156069.42,Remote,b2b,medium,0,0
1007-2020,1007,2020,Finance,Controller,female,28,0,109890.75,0.0538,115806.31,Warsaw,full_time,medium,0,0
1007-2021,1007,2021,Finance,Controller,female,29,1,118362.29,0.054,124749.66,Warsaw,full_time,medium,0,0
1007-2022,1007,2022,Finance,Controller,female,30,2,121281.72,0.0296,124876.81,Warsaw,full_time,medium,0,0
1007-2023,1007,2023,Finance,Controller,female,31,3,138194.5,0.0965,151531.25,Warsaw,full_time,medium,0,0
1007-2024,1007,2024,Finance,Controller,female,32,4,132926.92,0.038,137980.73,Warsaw,full_time,medium,0,0
1007-2025,1007,2025,Finance,Controller,female,33,5,137911.05,0.1134,153554.15,Warsaw,full_time,medium,0,0
1008-2018,1008,2018,Finance,Controller,female,43,0,94144.74,0.0311,97072.87,Remote,full_time,medium,0,0
1008-2019,1008,2019,Finance,Controller,female,44,1,105490.89,0.0431,110038.02,Remote,full_time,medium,0,0
1008-2020,1008,2020,Finance,Controller,female,45,2,110005.98,0.0767,118447.04,Remote,full_time,medium,0,0
1008-2021,1008,2021,Finance,Controller,female,46,3,109750.44,0.1091,121727.5,Remote,full_time,medium,0,0
1008-2022,1008,2022,Finance,Controller,female,47,4,127994.33,0.0781,137993.08,Remote,full_time,medium,0,0
1009-2016,1009,2016,Sales,Account Executive,male,38,2,91456.82,0.1388,104147.65,Krakow,full_time,low,0,0
1009-2017,1009,2017,Sales,Account Executive,male,39,3,94880.59,0.2248,116209.96,Krakow,full_time,low,0,0
1009-2018,1009,2018,Sales,Account Executive,male,40,4,101556.06,0.041,105724.74,Krakow,full_time,low,0,0
